corp_code,corp_name,rcept_no,dart_link,basis,unit_source,fy,period,bs_n,is_n,cf_n,flag
00117498,스틱인베스트먼트,20010515000328,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010515000328,separate,pdf,2001,Q1,9,1,36,LOW
00117498,스틱인베스트먼트,20010814000252,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010814000252,consolidated,pdf,2001,H1,10,5,,LOW
00117498,스틱인베스트먼트,20021114000387,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021114000387,separate,pdf,2002,Q3,9,2,36,LOW
00117966,동원개발,20040514000433,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040514000433,separate,squished_total,2004,Q1,1,,,LOW
00117966,동원개발,20040813000340,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813000340,separate,squished_total,2004,H1,1,,,LOW
00117966,동원개발,20041115000049,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041115000049,separate,squished_total,2004,Q3,1,,,LOW
00117966,동원개발,20050331000037,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050331000037,separate,squished_total,2004,FY,1,,,LOW
00117966,동원개발,20050516001252,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050516001252,separate,squished_total,2005,Q1,1,,,LOW
00117966,동원개발,20050813000117,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050813000117,separate,squished_total,2005,H1,1,,,LOW
00117966,동원개발,20051114000080,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20051114000080,separate,squished_total,2005,Q3,1,,,LOW
00117966,동원개발,20060331001156,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060331001156,separate,squished_total,2005,FY,1,,,LOW
00117966,동원개발,20060515001102,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060515001102,separate,squished_total,2006,Q1,1,,,LOW
00117966,동원개발,20060811000308,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060811000308,separate,squished_total,2006,H1,1,,,LOW
00117966,동원개발,20061114000621,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20061114000621,separate,squished_total,2006,Q3,1,,,LOW
00117966,동원개발,20070330001762,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20070330001762,separate,squished_total,2006,FY,1,,,LOW
00118008,동원모빌리티,20181107000363,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181107000363,consolidated,xbrl,2019,Q1,33,12,5,LOW
00118008,동원모빌리티,20181107000363,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181107000363,separate,xbrl,2019,Q1,31,13,5,LOW
00118804,동진쎄미켐,20000330000227,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000330000227,consolidated,pdf,1999,FY,10,15,6,LOW
00118804,동진쎄미켐,20000330000227,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000330000227,separate,pdf,1999,FY,13,20,11,LOW
00118804,동진쎄미켐,20000515000363,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000363,separate,pdf,2000,Q1,10,15,11,LOW
00118804,동진쎄미켐,20000814000717,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000717,separate,pdf,2000,H1,10,14,11,LOW
00118804,동진쎄미켐,20010331000594,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010331000594,consolidated,pdf,2000,FY,10,14,6,LOW
00118965,티에이치엔,20000330000056,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000330000056,separate,pdf,1999,FY,5,2,33,LOW
00118965,티에이치엔,20000513000178,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000513000178,separate,pdf,2000,Q1,5,2,37,LOW
00119007,무림P&P,20000513000090,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000513000090,consolidated,pdf,2000,Q1,,2,,LOW
00119007,무림P&P,20000814000276,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000276,consolidated,pdf,2000,H1,,3,,LOW
00119195,동화약품,20111111000686,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20111111000686,separate,declared,2011,Q3,13,9,62,LOW
00120021,LG,20030514002025,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030514002025,separate,declared,2003,Q1,4,,,LOW
00120021,LG,20030515000851,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030515000851,separate,declared,2003,Q1,4,,,LOW
00120021,LG,20030519000173,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030519000173,separate,declared,2003,Q1,4,,,LOW
00120021,LG,20030814000938,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030814000938,separate,declared,2003,H1,4,,,LOW
