corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00126955,separate,2003,2004,67789237195,5288462141,native,native
00127042,consolidated,2012,2013,43380871431,2863007444,native,native
00127042,separate,2006,2007,24967900563,1082340448,native,native
00127158,consolidated,2013,2014,4477297910,301128583,native,native
00127158,separate,2004,2005,961270883,,native,native
00127158,separate,2007,2008,267296040,-1444997813,native,native
00127167,consolidated,2012,2013,65472939980,1044550526,native,native
00127167,separate,2004,2005,40935924115,1411406172,native,native
00127167,separate,2007,2008,48952894417,1014857620,native,native
00127200,consolidated,2012,2013,68366660819,2375650706,native,native
00127200,separate,2003,2004,41117464269,1454368924,native,native
00127255,consolidated,2012,2013,45040054220,-1511710292,native,native
00127255,separate,2003,2004,26943402900,2006757484,native,native
00127255,separate,2007,2008,33259429910,355350345,native,native
00127802,consolidated,2022,2023,72881968840,2663161491,native,native
00127802,separate,2003,2004,28221819788,924669158,native,native
00127857,consolidated,2012,2013,39594633135,4674613265,native,native
00127857,separate,2007,2008,23309116349,703578172,native,native
00127936,separate,2006,2007,7243260000,65534000,native,native
00127954,consolidated,2012,2013,482817003975,2787211724,native,native
00127954,separate,2007,2008,164730000000,1141000000,native,native
00128032,consolidated,2012,2013,23164486542,122587451,native,native
00128032,separate,2006,2007,26744323079,5336197595,native,native
00128111,consolidated,2012,2013,231988301017,3123591301,native,native
00128175,consolidated,2011,2012,50313407740,2101972167,native,native
00128175,consolidated,2013,2014,37993843444,785636560,native,native
00128227,consolidated,2016,2017,36791251499,3213989210,native,native
00128227,separate,2007,2008,24790235190,638497438,native,native
00128315,consolidated,2014,2015,5585124290,-1325751767,native,native
00128315,separate,2007,2008,11370411170,1807793975,native,native
00128546,consolidated,2012,2013,24130160471,3367555632,native,native
00128546,separate,2006,2007,13575000505,1892750742,native,native
00128555,consolidated,2012,2013,1343979867896,51947962930,native,native
00128555,separate,2007,2008,845296651805,71499579215,native,native
00128607,consolidated,2015,2016,41654670003,2401918890,native,native
00128607,separate,2007,2008,11914520873,193716004,native,native
00128661,consolidated,2012,2013,282705089615,7871933772,native,native
00128661,separate,2003,2004,337284755044,5770907319,native,native
00128980,separate,2004,2005,17425723075,1891126361,native,native
00129013,consolidated,2023,2024,52495885514,1333281364,native,native
00129013,separate,2004,2005,39672860427,482320152,native,native
00129235,consolidated,2019,2020,37077683641,2612378481,native,native
00129271,consolidated,2012,2013,45488781123,1474244333,native,native
00129280,consolidated,2012,2013,11285944993,103460972,native,native
00129280,separate,2003,2004,20827266817,,native,native
00129350,consolidated,2001,2002,114417613534,1468538526,native,native
00129350,consolidated,2012,2013,36545305704,896557969,native,native
00129350,separate,2004,2005,20166323166,-91224030,native,native
00129387,consolidated,2012,2013,90333264899,2491996220,native,native
00129387,separate,2003,2004,47587015423,2429794555,native,native
00129387,separate,2007,2008,68562339693,4022298449,native,native
00129420,consolidated,2023,2024,60633952447,-1453807788,native,native
00129420,separate,2004,2005,18370008852,1809686699,native,native
00129420,separate,2007,2008,23236778585,2540566125,native,native
00129509,consolidated,2012,2013,72035992463,379626447,native,native
00129509,separate,2004,2005,24600293023,529562239,native,native
00129554,consolidated,2012,2013,6817783284,-118558627,native,native
00129554,separate,2005,2006,7791948126,,native,native
00129615,consolidated,2013,2014,63301439453,2038839498,native,native
00129615,separate,2007,2008,17352914167,2607108852,native,native
00129642,consolidated,2012,2013,68125414304,7661186903,native,native
00129642,separate,2006,2007,30531915922,2065854338,native,native
00129679,consolidated,2010,2011,156228120273,16896526693,native,native
00129989,separate,2003,2004,60705617277,5042027149,native,native
00130091,consolidated,2012,2013,60569487036,2867481394,native,native
00130383,consolidated,2012,2013,14886555913,2384269452,native,native
00130383,consolidated,2019,2020,21620852058,-1241094938,native,native
00130383,separate,2005,2006,5746018344,339679264,native,native
00130383,separate,2007,2008,6436052743,269676115,native,native
00130408,consolidated,2012,2013,24422887845,3370735121,native,native
00130408,separate,2006,2007,7498351000,107756000,native,native
00130587,consolidated,2010,2011,57366263674,3290850127,native,native
00130587,separate,2005,2006,4050749597,,native,native
00130684,consolidated,2012,2013,856561251873,13340946644,native,native
00130684,separate,2003,2004,426039054658,23869827650,native,native
00130763,consolidated,2012,2013,230203362000,12456943000,native,native
00130763,separate,2005,2006,38245797116,4687281124,native,native
00130772,consolidated,2012,2013,144419123827,-10051262946,native,native
