corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00126955,삼양식품,003230,KOSPI,12,1998,2026,29
01060814,삼양패키징,272550,KOSPI,12,2015,2026,12
00126937,삼양홀딩스,000070,KOSPI,12,2000,2026,27
00127255,삼영,003720,KOSPI,12,1999,2026,28
00127167,삼영무역,002810,KOSPI,12,1998,2026,29
00127200,삼영전자공업,005680,KOSPI,12,1997,2026,30
00191588,삼원강재,023000,KOSPI,12,2009,2026,18
00127857,삼익악기,002450,KOSPI,12,2000,2026,27
00109806,삼일씨엔에스,004440,KOSPI,12,2000,2026,14
00128032,삼일제약,000520,KOSPI,12,1999,2026,23
00128227,삼정펄프,009770,KOSPI,12,2004,2026,23
00128412,삼진제약,005500,KOSPI,12,1997,2026,30
00128555,삼천리,004690,KOSPI,12,2000,2026,27
00128980,삼호개발,010960,KOSPI,12,2001,2026,26
00129235,삼화왕관,004450,KOSPI,12,1999,2026,28
00129271,삼화전기,009470,KOSPI,12,1997,2026,30
00129280,삼화전자공업,011230,KOSPI,12,1999,2026,28
00129350,삼화콘덴서공업,001820,KOSPI,12,1999,2026,28
00112059,상상인증권,001290,KOSPI,12,2000,2026,26
00129642,상신브레이크,041650,KOSPI,12,2001,2026,26
00305668,새론오토모티브,075180,KOSPI,12,2003,2026,24
00130091,샘표,007540,KOSPI,12,2000,2026,27
01167056,샘표식품,248170,KOSPI,12,2015,2026,12
00163114,서연,007860,KOSPI,12,1999,2026,28
00130684,서울도시가스,017390,KOSPI,12,2000,2026,27
00112998,서울보증보험,031210,KOSPI,12,2022,2026,5
00130879,서울식품공업,004410,KOSPI,12,2000,2026,25
00131197,서원,021050,KOSPI,12,1999,2026,28
00131692,서흥,008490,KOSPI,12,1998,2026,29
00131939,선도전기,007610,KOSPI,12,1999,2026,28
00855093,선진,136490,KOSPI,12,2010,2026,17
00132628,성문전자,014910,KOSPI,12,1999,2026,28
00132804,성신양회,004980,KOSPI,12,1999,2026,28
00133335,성창기업지주,000180,KOSPI,12,2000,2026,27
00133618,세기상사,002420,KOSPI,12,1997,2026,30
00133858,세방전지,004490,KOSPI,12,1999,2026,28
00106669,세아베스틸지주,001430,KOSPI,12,2000,2026,27
01325979,세아제강,306200,KOSPI,12,2018,2026,9
00124197,세아제강지주,003030,KOSPI,12,1997,2026,30
00377610,세아홀딩스,058650,KOSPI,12,2000,2026,27
00134176,세우글로벌,013000,KOSPI,12,1999,2026,28
00134316,세원정공,021820,KOSPI,6,1998,2026,29
00415628,세진중공업,075580,KOSPI,12,2013,2026,14
00413046,셀트리온,068270,KOSPI,12,2004,2026,23
01412822,솔루스첨단소재,336370,KOSPI,12,2019,2026,8
01159233,솔루엠,248070,KOSPI,12,2017,2026,10
00134963,송원산업,004430,KOSPI,12,1998,2026,29
00135111,수산세보틱스,017550,KOSPI,12,1999,2026,28
00193328,수산인더스트리,126720,KOSPI,12,2020,2026,7
00117498,스틱인베스트먼트,026890,KOSPI,12,2000,2026,26
00852087,시디즈,134790,KOSPI,12,2009,2026,18
00148984,시알홀딩스,000480,KOSPI,12,1997,2026,30
01384787,시프트업,462870,KOSPI,12,2022,2026,5
00135777,신대양제지,016590,KOSPI,12,2002,2026,25
00135795,신도리코,029530,KOSPI,12,1999,2026,28
00135962,신라교역,004970,KOSPI,12,1998,2026,29
00136271,신성이엔지,011930,KOSPI,12,1999,2026,28
00136378,신세계,004170,KOSPI,12,1998,2026,29
00234412,신세계인터내셔날,031430,KOSPI,12,2009,2026,18
00274933,신세계푸드,031440,KOSPI,12,1999,2026,28
00136402,신송홀딩스,006880,KOSPI,12,1997,2026,20
00136624,신영와코루,005800,KOSPI,12,2000,2026,27
00136721,신영증권,001720,KOSPI,3,2000,2026,27
00136864,신원,009270,KOSPI,12,1997,2026,30
00173698,신일전자,002700,KOSPI,12,2000,2026,27
00137368,신풍,002870,KOSPI,12,2002,2026,25
00137359,신풍제약,019170,KOSPI,12,1997,2026,29
00382199,신한지주,055550,KOSPI,12,2000,2026,27
00173795,신흥,004080,KOSPI,12,1997,2026,26
00138057,써니전자,004770,KOSPI,12,1999,2026,27
01026157,쏘카,403550,KOSPI,12,2020,2026,7
00127158,씨아이테크,004920,KOSPI,12,1999,2026,28
00670340,씨에스윈드,112610,KOSPI,12,2012,2026,15
01210677,씨케이솔루션,480370,KOSPI,12,2022,2026,5
00450010,씨티알모빌리티,308170,KOSPI,12,2017,2026,10
00138516,아남전자,008700,KOSPI,12,1997,2026,29
00583424,아모레퍼시픽,090430,KOSPI,12,2004,2026,23
00154462,아모레퍼시픽홀딩스,002790,KOSPI,12,1999,2026,28
00138701,아세아,002030,KOSPI,12,1997,2026,30
00990165,아세아시멘트,183190,KOSPI,12,2012,2026,15
00138729,아세아제지,002310,KOSPI,12,1997,2026,29
00145437,아센디오,012170,KOSPI,12,1999,2026,27
00138792,아시아나항공,020560,KOSPI,12,1999,2026,28
00360142,아이마켓코리아,122900,KOSPI,12,2008,2026,19
00115977,아이에스동서,010780,KOSPI,12,1997,2026,28
00186559,아이티센씨티에스,031820,KOSPI,12,1999,2026,28
00486705,아주스틸,139990,KOSPI,12,2019,2026,8
00111689,아진전자부품,009320,KOSPI,12,1997,2026,30
00117027,알루코,001780,KOSPI,12,2000,2026,23
00139454,애경산업,018250,KOSPI,12,2015,2026,12
00936787,애경케미칼,161000,KOSPI,12,2011,2026,16
00139764,에넥스,011090,KOSPI,12,1998,2026,29
00854997,에스디바이오센서,137310,KOSPI,12,2018,2026,9
00125521,에스엘,005850,KOSPI,12,2000,2026,27
00147860,에스엠벡셀,010580,KOSPI,12,1999,2026,25
00158501,에스원,012750,KOSPI,12,2000,2026,27
00815369,에스제이엠,123700,KOSPI,12,2010,2026,17
00181943,에스제이엠홀딩스,025530,KOSPI,12,1999,2026,28
00878696,에스케이바이오팜,326030,KOSPI,12,2018,2026,9
00121969,에쓰씨엔지니어링,023960,KOSPI,12,1999,2026,28
00651901,에어부산,298690,KOSPI,12,2016,2026,11
00400857,에이블씨엔씨,078520,KOSPI,12,2003,2026,24
00143314,에이엔피,015260,KOSPI,12,2000,2026,23
00152385,에이프로젠,007460,KOSPI,12,2000,2026,27
00684802,에이플러스에셋,244920,KOSPI,12,2009,2026,18
01190568,에이피알,278470,KOSPI,12,2015,2026,12
01311408,에코프로머티,450080,KOSPI,12,2020,2026,7
00156150,엑시큐어하이트론,019490,KOSPI,12,1999,2026,28
00172228,엔케이,085310,KOSPI,12,2005,2026,22
00108038,엔피씨,004250,KOSPI,12,2001,2026,26
00838500,엘브이엠씨,900140,KOSPI,12,2009,2026,18
00398701,엘앤에프,066970,KOSPI,12,2004,2026,23
00105855,엘에스일렉트릭,010120,KOSPI,12,1999,2026,28
00564562,엠씨넥스,097520,KOSPI,12,2010,2026,17
01519790,엠앤씨솔루션,484870,KOSPI,12,2022,2026,5
