corp_code,corp_name,fiscal_year,fiscal_period,basis,field,db_won,report_won,category,evidence_acode
01412822,솔루스첨단소재,2024,FY,consolidated,trade_payables,59403793489,92202000000,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00148531,제이스코홀딩스,2026,Q1,consolidated,controlling_ni,-4752237204,-4928739564,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00148531,제이스코홀딩스,2025,H1,consolidated,controlling_ni,-10716956629,-10392148341,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00353878,다스코,2025,Q3,separate,cfo,23196412775,21839297313,UNRESOLVED,
00353878,다스코,2025,Q3,consolidated,cfo,29396252173,26751006104,UNRESOLVED,
00353878,다스코,2025,Q1,separate,cfo,2049606144,1480819628,UNRESOLVED,
00353878,다스코,2024,FY,consolidated,cfo,19982699219,15916843497,UNRESOLVED,
00329093,코데즈컴바인,2025,Q3,separate,tax_expense,27016700,-89254124,UNRESOLVED,
00330424,LS증권,2026,H1,consolidated,revenue,263185615608,3935854061253,ADDITIVE_PAIR_CANDIDATE,
00330424,LS증권,2026,H1,separate,revenue,266546729339,3935761229907,ADDITIVE_PAIR_CANDIDATE,
00330424,LS증권,2026,Q1,consolidated,revenue,111909816258,1636450892273,ADDITIVE_PAIR_CANDIDATE,
00330424,LS증권,2026,Q1,separate,revenue,112412743863,1636080540718,ADDITIVE_PAIR_CANDIDATE,
00149354,종근당홀딩스,2026,Q1,consolidated,trade_payables,48155673615,22634956968,CONCEPT_GAP,ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers
00356389,프럼파스트,2026,H1,consolidated,revenue,11125207828,12411473196,CONCEPT_GAP,dart_CostOfSalesFromSaleOfGoods
00356389,프럼파스트,2026,H1,separate,revenue,9472963710,10557080791,CONCEPT_GAP,dart_CostOfSalesFromSaleOfGoods
00156859,다올투자증권,2026,Q1,separate,revenue,41558322654,609268008460,ADDITIVE_PAIR_CANDIDATE,
00356361,LG화학,2025,Q3,consolidated,controlling_ni,-846122000000,-422511000000,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00356361,LG화학,2025,Q1,consolidated,controlling_ni,8464000000,-107568000000,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00356361,LG화학,2025,H1,consolidated,controlling_ni,-1756433000000,-541904000000,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00163761,한창제지,2024,FY,separate,trade_payables,15452696793,17468624581,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
00482426,인화정공,2026,Q1,separate,trade_payables,6004761157,5466559989,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
00482426,인화정공,2025,FY,separate,trade_payables,7041076416,777088674,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
00482426,인화정공,2025,FY,consolidated,trade_payables,8383422161,1395562804,CONCEPT_GAP,ifrs-full_TradeAndOtherPayablesToTradeSuppliers
00407771,듀오백,2026,H1,separate,revenue,8299430055,12042842527,CONCEPT_GAP,dart_CostOfSalesFromSaleOfGoods
00626011,아이텍,2026,Q1,consolidated,trade_payables,18500000,4869596296,CONCEPT_GAP,ifrs-full_NoncurrentPayables
00626011,아이텍,2025,FY,consolidated,trade_payables,20000000,7004527758,CONCEPT_GAP,ifrs-full_NoncurrentPayables
00626011,아이텍,2025,FY,separate,trade_payables,0,5068265299,CONCEPT_GAP,ifrs-full_CurrentTaxAssets
00833064,엠플러스,2025,H1,consolidated,controlling_ni,10140333739,10194096717,CONCEPT_GAP,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
00866062,엘티씨,2026,Q1,consolidated,dividends_paid,-927716600,-1033567200,UNRESOLVED,
00866062,엘티씨,2026,Q1,separate,dividends_paid,-927716600,-1033567200,UNRESOLVED,
00488244,원일티엔아이,2025,Q3,separate,tax_expense,-20022046,6704819,UNRESOLVED,
00392691,포니링크,2025,Q3,separate,tax_expense,84470990,444927513,UNRESOLVED,
01135640,이삭엔지니어링,2025,Q3,separate,tax_expense,-604332091,1150782508,UNRESOLVED,
00126256,삼성생명,2026,Q1,consolidated,revenue,14719366000000,14901854000000,ADDITIVE_PAIR_CANDIDATE,
00123772,부국증권,2025,Q1,consolidated,revenue,52699925463,193216191147,ADDITIVE_PAIR_CANDIDATE,
00123772,부국증권,2025,FY,consolidated,revenue,179735376651,965463610904,ADDITIVE_PAIR_CANDIDATE,
