rcept_no,corp_code,fiscal_year,fiscal_period,statement,basis,unit_source,adecimal,n_impossible_rows,max_abs_value_won
20210514001647,00913689,2021,Q1,BS,consolidated,declared,-6,15,10000000000000000
20060811000779,00231691,2006,H1,IS,separate,doc_default,-6,15,6969986597000000
20050430000016,00110884,2004,FY,APPR,separate,doc_default,-6,15,8855985109000000
20031203000105,00114154,2003,Q3,IS,separate,doc_default,-6,15,9656858482000000
20220318000950,00231831,2021,FY,CF,consolidated,declared,-6,15,9344010706000000
20200601000502,00400121,2020,Q1,BS,consolidated,declared,-6,15,9173122301000000
20050812000726,00134565,2005,H1,BS,separate,doc_default,-6,15,7926609354000000
20220322000790,00176835,2021,FY,BS,separate,declared,-6,15,9332690946000000
20061114000036,00138303,2006,Q3,IS,separate,doc_default,-6,15,9071748293000000
20050331000139,00238153,2004,FY,CF,separate,doc_default,-6,15,9011485178000000
20230315001327,00113058,2022,FY,SCE,separate,doc_default,-6,15,5669991001000000
20050331002595,00299464,2004,FY,CF,separate,doc_default,-6,15,9050723159000000
20241112000311,01032486,2024,Q3,BS,consolidated,doc_default,-6,15,6791887248000000
20181114001144,00365624,2018,Q3,BS,consolidated,declared,-6,15,8381215437000000
20050429001411,00238153,2004,FY,CF,separate,doc_default,-6,15,9011485178000000
20240819000327,01032486,2024,H1,BS,consolidated,doc_default,-6,15,6939861578000000
20060330000136,00263371,2005,FY,IS,separate,doc_default,-6,15,7788408025000000
20200814001963,00615723,2020,H1,BS,separate,declared,-6,15,9412152107000000
20020814000425,00351807,2002,H1,IS,separate,doc_default,-6,15,8562602580000000
20220516001541,00369213,2022,Q1,BS,separate,declared,-6,15,9259783579000000
20230321001556,01437858,2022,FY,SCE,separate,declared,-6,15,8996173934000000
20201116000068,01144569,2020,Q3,SCE,consolidated,declared,-6,15,9135771603000000
20050816000769,00149804,2005,H1,CF,separate,doc_default,-6,15,5727087951000000
20070214000032,00109718,2007,Q3,IS,separate,doc_default,-6,15,9206047232000000
20100514002874,00606664,2010,Q1,CF,separate,declared,-6,15,8919172138000000
20040813000124,00151298,2004,H1,APPR,separate,doc_default,-6,15,6864200695000000
20230324001066,00937324,2022,FY,BS,consolidated,declared,-3,15,8875709247979000
20210813001338,00163512,2021,H1,CF,consolidated,declared,-6,15,9962442450000000
20221111000158,00298340,2022,Q3,SCE,consolidated,declared,-6,15,7915000000000000
20230323001157,00204226,2022,FY,BS,consolidated,declared,-6,15,8990792620000000
20170331002239,01109715,2016,FY,CF,separate,doc_default,-6,14,8997266000000000
20220322000790,00176835,2021,FY,IS,consolidated,declared,-6,14,8722853420000000
20210817001298,01234507,2021,H1,BS,consolidated,declared,-6,14,9928221233000000
20210817002192,00186559,2021,H1,SCE,consolidated,declared,-6,14,4574020000000000
20030515001654,00143226,2003,Q1,CF,separate,doc_default,-6,14,5633150000000000
20020517000146,00148276,2002,Q1,IS,separate,doc_default,-6,14,9629421582000000
20060814000398,00115931,2006,H1,CF,separate,doc_default,-6,14,3684804500000000
20210817001298,01234507,2021,H1,CF,consolidated,declared,-6,14,9551183618000000
20210813001338,00163512,2021,H1,BS,separate,declared,-6,14,9962512741000000
20020330000386,00163345,2001,FY,IS,separate,doc_default,-6,14,9752858769000000
20240814004158,00149947,2024,H1,CF,consolidated,declared,-6,14,9665252800000000
20240514001672,01513699,2024,Q1,BS,separate,declared,-6,14,6304991000000000
20051111000402,00407771,2005,Q3,CF,separate,doc_default,-6,14,9810677310000000
20040524000033,00406727,2003,FY,APPR,separate,doc_default,-6,14,9723790452000000
20210817001851,00161116,2021,H1,CF,separate,declared,-6,14,9572866808000000
20170510000255,00140061,2017,Q1,BS,consolidated,declared,-6,14,7193707126000000
20230512000842,00327819,2023,Q1,SCE,separate,declared,-6,14,5733185154000000
20231114002290,00144818,2023,Q3,CF,separate,declared,-6,14,9127103681000000
20170414001855,01109715,2016,FY,CF,separate,doc_default,-6,14,8997266000000000
20020401001282,00267942,2001,FY,IS,separate,doc_default,-6,14,8738048723000000
20250814001699,00122348,2025,Q3,CF,separate,declared,-6,14,7235700746000000
20180329000079,00578538,2017,FY,BS,consolidated,declared,-6,14,9732194140000000
20060515000113,00162063,2006,Q1,IS,separate,doc_default,-6,14,7302719934000000
20060814000233,00139153,2006,H1,IS,consolidated,doc_default,-6,14,9866715349000000
20220516001541,00369213,2022,Q1,SCE,consolidated,declared,-6,14,4418033088000000
20040409001038,00406727,2003,FY,APPR,separate,doc_default,-6,14,9723790452000000
20070515001988,00363592,2007,Q1,CF,separate,doc_default,-6,14,9020420437000000
20230322000822,00888347,2022,FY,BS,separate,declared,-6,14,9784074224000000
20240321001971,00296078,2023,FY,SCE,separate,declared,-6,14,6099597793000000
20170814001553,00162832,2017,H1,BS,consolidated,declared,-6,14,9385713914000000
20200814001536,00384762,2020,H1,SCE,separate,declared,-6,14,6981754500000000
20180329000079,00578538,2017,FY,BS,separate,declared,-6,14,9732194140000000
20250814001699,00122348,2025,Q3,CF,consolidated,declared,-6,14,6796348377000000
20140828000785,00490151,2014,H1,CF,consolidated,declared,-6,14,9178331580000000
20040514000508,00101549,2004,Q1,CF,separate,doc_default,-6,14,7789844389000000
20200814001536,00384762,2020,H1,BS,consolidated,declared,-6,14,8478956841000000
20230512001370,00110884,2023,Q1,BS,consolidated,declared,-6,14,9496645042000000
20040507001302,00406727,2003,FY,CF,separate,doc_default,-6,14,4750786701000000
20210817001708,00219486,2021,H1,CF,separate,declared,-6,14,6029742935000000
20040524000033,00406727,2003,FY,CF,separate,doc_default,-6,14,4750786701000000
20241114001838,01344363,2024,Q3,CF,separate,declared,-6,14,9627448687000000
20070813000543,00244783,2007,H1,CF,separate,declared,-6,14,9406682345000000
20021114000437,00267942,2002,Q3,BS,separate,doc_default,-6,14,9034096780000000
20240321001971,00296078,2023,FY,BS,separate,declared,-6,14,8969723848000000
20070814000428,00106669,2007,H1,IS,separate,doc_default,-6,14,9248121138000000
20040507001302,00406727,2003,FY,APPR,separate,doc_default,-6,14,9723790452000000
20201116000068,01144569,2020,Q3,CF,consolidated,declared,-6,14,9597501122000000
20040409001038,00406727,2003,FY,CF,separate,doc_default,-6,14,4750786701000000
20020515000658,00148276,2002,Q1,IS,separate,doc_default,-6,14,9629421582000000
20040813001338,00288343,2004,H1,IS,separate,doc_default,-6,14,9846196739000000
20220322000790,00176835,2021,FY,BS,consolidated,declared,-6,14,9118064141000000
20041112000504,00152385,2004,Q3,IS,separate,doc_default,-6,14,8933005177000000
20201116001133,00125822,2020,Q3,BS,consolidated,declared,-6,14,9408503279000000
20230811000744,01146822,2023,H1,BS,consolidated,declared,-6,14,8215979771000000
20181114001144,00365624,2018,Q3,SCE,separate,declared,-6,14,8381215437000000
20220513001674,01412822,2022,Q1,IS,consolidated,declared,-6,14,8549594274000000
20050516001417,00480455,2005,Q1,IS,separate,doc_default,-6,14,8929986152000000
20030814000143,00137058,2003,H1,IS,separate,doc_default,-6,14,7256151713000000
20080814001554,00145446,2008,H1,IS,consolidated,doc_default,-6,13,8748464636000000
20021114000364,00125822,2002,Q3,IS,separate,doc_default,-6,13,8869934101000000
20200601000502,00400121,2020,Q1,SCE,separate,declared,-6,13,5943896000000000
20170331002239,01109715,2016,FY,BS,separate,doc_default,-6,13,9957402465000000
20230320000985,00989619,2022,FY,CF,separate,declared,-6,13,8551264961000000
20170414001855,01109715,2016,FY,BS,separate,doc_default,-6,13,9957402465000000
20030331000232,00125822,2002,FY,IS,separate,doc_default,-6,13,6392293525000000
20151113001065,01032404,2015,Q3,SCE,consolidated,declared,-6,13,7386431000000000
20241114002786,00104810,2024,Q3,BS,separate,declared,-6,13,9972018237000000
20210813001338,00163512,2021,H1,CF,separate,declared,-6,13,9962442450000000
20040813001151,00264547,2004,H1,CF,separate,doc_default,-6,13,7678774878000000
20040514003547,00131780,2004,Q1,IS,separate,doc_default,-6,13,9426137880000000
20241114002786,00104810,2024,Q3,IS,consolidated,declared,-6,13,8705892187000000
20050331002595,00299464,2004,FY,IS,separate,doc_default,-6,13,9884678966000000
20090331000940,00415594,2008,FY,SCE,separate,doc_default,-6,13,8473328242000000
20140829001766,00140955,2014,H1,IS,consolidated,declared,-6,13,9554969495000000
20210817001298,01234507,2021,H1,CF,separate,declared,-6,13,9551183618000000
20050331000827,00164830,2004,FY,APPR,separate,doc_default,-6,13,10000000000000000
20240814004158,00149947,2024,H1,CF,separate,declared,-6,13,9665252800000000
20070515001390,00328191,2007,Q1,CF,separate,doc_default,-6,13,6874985161000000
20040513001378,00151128,2004,Q1,IS,separate,doc_default,-6,13,8144706457000000
20140828000785,00490151,2014,H1,CF,separate,declared,-6,13,8088784470000000
20230814002932,00403632,2023,H1,BS,separate,declared,-6,13,9942845635000000
20211115000528,00127255,2021,Q3,SCE,consolidated,declared,-6,13,3161995140000000
20070515002282,00137207,2007,Q1,CF,separate,doc_default,-6,13,9489976812000000
20120515001810,00313649,2012,Q1,IS,separate,declared,-6,13,9956299388000000
20230512001370,00110884,2023,Q1,BS,separate,declared,-6,13,9476483192000000
20050331000036,00207375,2004,FY,IS,separate,doc_default,-6,13,9312064921000000
20231114002290,00144818,2023,Q3,BS,consolidated,declared,-6,13,7659149440000000
20060814000045,00230814,2006,H1,CF,separate,doc_default,-6,13,2664159024000000
20031114000488,00263371,2003,Q3,CF,separate,doc_default,-6,13,9432120269000000
20180402003540,00103130,2017,FY,BS,consolidated,declared,-6,13,9776489357000000
20041109000245,00143226,2004,Q3,IS,separate,declared,-6,13,5553466556000000
20220513001674,01412822,2022,Q1,BS,consolidated,declared,-6,13,9479548955000000
20030813000498,00298447,2003,H1,IS,separate,doc_default,-6,13,9087480587000000
20170814001553,00162832,2017,H1,BS,separate,declared,-6,13,9000180894000000
20100514002874,00606664,2010,Q1,SCE,separate,declared,-6,13,9562330000000000
20201116000068,01144569,2020,Q3,SCE,separate,declared,-6,13,9025566592000000
20170510000255,00140061,2017,Q1,BS,separate,declared,-6,13,7193707126000000
20200814001536,00384762,2020,H1,BS,separate,declared,-6,13,7787881240000000
20130401003005,00364467,2012,FY,BS,consolidated,declared,-6,13,9888905512000000
20201116001284,00115384,2020,Q3,CF,separate,declared,-6,13,9316301496000000
20040814000049,00133751,2004,H1,APPR,separate,declared,-6,13,5840156411000000
20140829001766,00140955,2014,H1,BS,consolidated,declared,-6,13,10000000000000000
20130828000220,00359623,2013,H1,BS,separate,declared,-6,13,8172532276000000
20201116000068,01144569,2020,Q3,CF,separate,declared,-6,13,9606298907000000
20200601000502,00400121,2020,Q1,SCE,consolidated,declared,-6,13,5943896000000000
20050331000036,00207375,2004,FY,APPR,separate,doc_default,-6,13,6106605452000000
20221114000332,00223762,2022,Q3,SCE,separate,declared,-6,13,8754403729000000
20230814000961,00390903,2023,H1,IS,consolidated,declared,-6,13,7698236356000000
20230615000156,00110875,2023,FY,BS,separate,declared,-6,13,10000000000000000
20070814001459,00258421,2007,H1,IS,separate,doc_default,-6,13,9854201097000000
20030813000353,00298447,2003,H1,IS,separate,doc_default,-6,13,9087480587000000
20240813000596,01344363,2024,H1,SCE,separate,declared,-6,13,8941634226000000
20220513001674,01412822,2022,Q1,BS,separate,declared,-6,13,9804930948000000
20240320001663,01098792,2023,FY,BS,separate,declared,-6,13,9413323549000000
20230814002932,00403632,2023,H1,BS,consolidated,declared,-6,13,8952260819000000
20260515002432,00415628,2026,Q1,BS,consolidated,declared,-6,13,9989396497000000
20230814001358,00133511,2023,H1,CF,consolidated,declared,-6,13,8780372500000000
20070515001330,00137207,2007,Q1,CF,separate,doc_default,-6,13,9489976812000000
20031113000351,00238153,2003,Q3,IS,separate,doc_default,-6,13,9878897058000000
20220321001173,01335930,2021,FY,BS,consolidated,declared,-6,13,9144916683000000
20230322000822,00888347,2022,FY,BS,consolidated,declared,-6,13,9970564328000000
20201116001284,00115384,2020,Q3,CF,consolidated,declared,-6,13,9436540330000000
20210817001851,00161116,2021,H1,SCE,separate,declared,-6,13,4992910520000000
20040813001252,00152385,2004,H1,IS,separate,doc_default,-6,13,8814333431000000
20230814001358,00133511,2023,H1,SCE,consolidated,declared,-6,13,2766117333000000
20060515000215,00133618,2006,Q1,CF,separate,doc_default,-6,13,9000000000000000
20230321001556,01437858,2022,FY,BS,separate,declared,-6,13,9651760000000000
20031128000091,00238153,2003,Q3,IS,separate,doc_default,-6,13,9878897058000000
20030331000023,00131197,2002,FY,APPR,separate,doc_default,-6,13,3808898440000000
20260515002432,00415628,2026,Q1,CF,consolidated,declared,-6,13,8734098491000000
20040624000097,00126371,2004,Q1,CF,separate,doc_default,-6,13,9436442160000000
20230814000961,00390903,2023,H1,SCE,separate,declared,-6,13,5584928500000000
20060915000047,00230814,2006,H1,CF,separate,doc_default,-6,13,2664159024000000
20210817002192,00186559,2021,H1,IS,consolidated,declared,-6,13,7495098082000000
20180402003540,00103130,2017,FY,CF,consolidated,declared,-6,13,9844690470000000
20140814001535,00148531,2014,H1,CF,separate,declared,-6,13,9089060234000000
20130828000220,00359623,2013,H1,BS,consolidated,declared,-6,13,9585844328000000
20040514003333,00126371,2004,Q1,CF,separate,doc_default,-6,13,9436442160000000
20060814001202,00158316,2006,H1,IS,separate,doc_default,-6,13,9105479718000000
20220321001501,00139205,2021,FY,BS,separate,declared,-6,13,9049014961000000
20070515001065,00155692,2007,Q1,CF,separate,doc_default,-6,13,3862700000000000
20221111000158,00298340,2022,Q3,BS,consolidated,declared,-6,12,9933749225000000
20181114001144,00365624,2018,Q3,CF,consolidated,declared,-6,12,8249000000000000
20180402005173,00904672,2017,FY,CF,separate,declared,-6,12,9718700000000000
20250814001699,00122348,2025,Q3,IS,consolidated,declared,-6,12,7427099300000000
20230324001066,00937324,2022,FY,BS,separate,declared,-3,12,6769107888360000
20060814000384,00110884,2006,H1,CF,separate,doc_default,-6,12,6760900000000000
20260515002432,00415628,2026,Q1,CF,separate,declared,-6,12,4305793978000000
20051109000030,00143226,2005,Q3,IS,separate,declared,-6,12,7555293114000000
20040515000302,00207375,2004,Q1,CF,separate,doc_default,-6,12,7940000000000000
20241114001838,01344363,2024,Q3,BS,separate,declared,-6,12,5862898722000000
20241114001806,00159971,2024,Q3,BS,separate,declared,-6,12,9704082142000000
20061114001227,00110750,2007,H1,IS,separate,declared,-6,12,4229957281000000
20080515001849,00173698,2008,Q1,CF,separate,declared,-6,12,4000000000000000
20240618000212,00378363,2024,FY,BS,consolidated,declared,-6,12,8643093289000000
20210817001452,00808068,2021,H1,BS,consolidated,declared,-6,12,10000000000000000
20060330000136,00263371,2005,FY,APPR,separate,doc_default,-6,12,6450000000000000
20070515001217,00150633,2007,Q1,BS,separate,doc_default,-6,12,7930148817000000
20221114000332,00223762,2022,Q3,SCE,consolidated,declared,-6,12,8754403729000000
20070330001248,00363592,2006,FY,IS,separate,doc_default,-6,12,8116525031000000
20060904000166,00161462,2005,Q3,IS,separate,doc_default,-6,12,6995295229000000
20181114001144,00365624,2018,Q3,CF,separate,declared,-6,12,9034788183000000
20060515002640,00101628,2006,Q1,IS,separate,doc_default,-6,12,4500754514000000
20180402003540,00103130,2017,FY,CF,separate,declared,-6,12,9841913124000000
20140828000785,00490151,2014,H1,IS,consolidated,declared,-6,12,9583994519000000
20140829001766,00140955,2014,H1,BS,separate,declared,-6,12,10000000000000000
20170510000255,00140061,2017,Q1,CF,consolidated,declared,-6,12,9925587930000000
20240814004158,00149947,2024,H1,IS,consolidated,declared,-6,12,8601658818000000
20120814000543,00137012,2012,H1,SCE,separate,declared,-6,12,3600000000000000
20230814001358,00133511,2023,H1,CF,separate,declared,-6,12,7542591500000000
20240618000212,00378363,2024,FY,BS,separate,declared,-6,12,8293847963000000
20241114002786,00104810,2024,Q3,BS,consolidated,declared,-6,12,9972018237000000
20250318001269,00299002,2024,FY,CF,consolidated,declared,-6,12,9130600945000000
20100816001285,00487546,2010,H1,SCE,separate,declared,-6,12,3200899638000000
20030814000987,00384717,2003,H1,CF,separate,doc_default,-6,12,7217239698000000
20210317000340,00127936,2020,FY,BS,separate,declared,-6,12,8597654858000000
20220318000950,00231831,2021,FY,SCE,separate,declared,-6,12,9357453336000000
20210813001272,00152880,2021,H1,SCE,separate,declared,-6,12,6309050567000000
20090421000269,00679314,2008,FY,SCE,separate,doc_default,-6,12,8515857891000000
20230814002932,00403632,2023,H1,SCE,separate,declared,-6,12,9913801950000000
20051111000151,00161462,2005,Q3,IS,separate,doc_default,-6,12,6995295229000000
20180329000079,00578538,2017,FY,IS,consolidated,declared,-6,12,7071658532000000
20070515000515,00150633,2007,Q1,BS,separate,doc_default,-6,12,7930148817000000
20061114001921,00133706,2006,Q3,APPR,separate,doc_default,-6,12,9163855360000000
20230323001157,00204226,2022,FY,IS,consolidated,declared,-6,12,9922970555000000
20190814000372,00267906,2019,H1,IS,separate,declared,-6,12,8300862940000000
20031113000362,00350020,2003,Q3,IS,separate,doc_default,-6,12,7822451415000000
20040603000023,00207375,2004,Q1,CF,separate,doc_default,-6,12,7940000000000000
20250814001699,00122348,2025,Q3,BS,consolidated,declared,-6,12,8520810220000000
20211115000528,00127255,2021,Q3,BS,separate,declared,-6,12,8948950853000000
20250814001699,00122348,2025,Q3,BS,separate,declared,-6,12,8520810220000000
20230814001358,00133511,2023,H1,SCE,separate,declared,-6,12,2858888196000000
20201116001133,00125822,2020,Q3,IS,consolidated,declared,-6,12,8705522312000000
20241114002786,00104810,2024,Q3,SCE,consolidated,declared,-6,12,6207415022000000
20170510000255,00140061,2017,Q1,CF,separate,declared,-6,12,9925587930000000
20220321001501,00139205,2021,FY,CF,consolidated,declared,-6,12,7121371406000000
20230814002932,00403632,2023,H1,CF,consolidated,declared,-6,12,9913801950000000
20250318001269,00299002,2024,FY,IS,consolidated,declared,-6,12,9637574896000000
20020809000085,00106669,2002,H1,IS,separate,doc_default,-6,12,8097748784000000
20231114002290,00144818,2023,Q3,BS,separate,declared,-6,12,9981134624000000
20050331000036,00207375,2004,FY,CF,separate,doc_default,-6,12,7940000000000000
20180402005173,00904672,2017,FY,BS,consolidated,declared,-6,12,8606211977000000
20230323001157,00204226,2022,FY,SCE,separate,declared,-6,12,7844777792000000
20110811000129,00161383,2011,H1,SCE,separate,declared,-6,12,9973853910000000
20180814001260,00535375,2018,H1,BS,separate,declared,-6,12,8944232000000000
20210817001298,01234507,2021,H1,SCE,separate,declared,-6,12,6267576000000000
20230814000961,00390903,2023,H1,CF,consolidated,declared,-6,12,9067939516000000
20210817001851,00161116,2021,H1,CF,consolidated,declared,-6,12,9572866808000000
20240814004158,00149947,2024,H1,SCE,consolidated,declared,-6,12,9665252800000000
20031027000178,00384717,2003,H1,CF,separate,doc_default,-6,12,7217239698000000
20051114001674,00149646,2005,Q3,BS,separate,doc_default,-8,12,8111159700000000
20070814000782,00205003,2007,H1,APPR,separate,doc_default,-6,12,8809368284000000
20230515002457,00106368,2023,Q1,SCE,consolidated,declared,-3,12,5653415177596000
20200601000502,00400121,2020,Q1,BS,separate,declared,-6,12,8388907009000000
20060508000817,00263371,2005,FY,APPR,separate,doc_default,-6,12,6450000000000000
20180814001643,00470829,2018,H1,SCE,separate,declared,-6,12,9575452858000000
20200814001536,00384762,2020,H1,CF,separate,declared,-6,12,7787881240000000
20041115000107,00372882,2004,Q3,CF,separate,doc_default,-6,12,3419082202000000
20090422000167,00679314,2008,FY,SCE,separate,doc_default,-6,12,8515857891000000
20041112000060,00372882,2004,Q3,CF,separate,doc_default,-6,12,3419082202000000
20040619000042,00207375,2004,Q1,CF,separate,doc_default,-6,12,7940000000000000
20020401001033,00172680,2001,FY,IS,separate,doc_default,-6,12,6711691780000000
20120515001810,00313649,2012,Q1,CF,separate,declared,-6,12,5122906057000000
20210514001647,00913689,2021,Q1,BS,separate,declared,-6,12,10000000000000000
20140828000785,00490151,2014,H1,BS,separate,declared,-6,12,10000000000000000
20240813000596,01344363,2024,H1,BS,separate,declared,-6,11,8449084973000000
20020515000551,00108038,2002,Q1,IS,separate,doc_default,-6,11,8469177920000000
20200330002831,00360142,2019,FY,SCE,separate,declared,-6,11,5976865732000000
20210319000658,00231831,2020,FY,CF,separate,declared,-6,11,9477368161000000
20221111000158,00298340,2022,Q3,BS,separate,declared,-6,11,9933749225000000
20090422000167,00679314,2008,FY,BS,separate,doc_default,-6,11,8515857891000000
20070814000241,00133706,2007,H1,APPR,separate,doc_default,-6,11,9633346559000000
20220318000950,00231831,2021,FY,CF,separate,declared,-6,11,9344010706000000
20060811000514,00159795,2006,H1,IS,separate,doc_default,-6,11,9052262766000000
20230811000744,01146822,2023,H1,CF,consolidated,declared,-6,11,5623319619000000
20210514001647,00913689,2021,Q1,CF,consolidated,declared,-6,11,9978400427000000
20210817001851,00161116,2021,H1,BS,consolidated,declared,-6,11,7845132376000000
20211115002501,00384887,2021,Q3,BS,consolidated,doc_default,-6,11,8200751000000000
20060814001087,00124799,2006,H1,APPR,separate,doc_default,-6,11,8092128980000000
20200814001536,00384762,2020,H1,IS,consolidated,declared,-6,11,5358312313000000
20190401002321,00503668,2018,FY,CF,separate,declared,-6,11,8866763195000000
20220321001501,00139205,2021,FY,CF,separate,declared,-6,11,7121371406000000
20230209000202,00378363,2023,Q3,BS,consolidated,declared,-6,11,9887999710000000
20240321001971,00296078,2023,FY,IS,separate,declared,-6,11,9178850070000000
20210817001298,01234507,2021,H1,IS,consolidated,declared,-6,11,7839141073000000
20230322000822,00888347,2022,FY,CF,separate,declared,-6,11,9591736923000000
20201116001133,00125822,2020,Q3,BS,separate,declared,-6,11,8687296350000000
20050830000237,00276834,2005,H1,APPR,separate,doc_default,-6,11,7102317070000000
20230322001304,00336817,2022,FY,SCE,separate,declared,-6,11,7623567433000000
20180402003540,00103130,2017,FY,IS,separate,declared,-6,11,8775540707000000
20210817001851,00161116,2021,H1,IS,consolidated,declared,-6,11,9397256602000000
20260515002432,00415628,2026,Q1,SCE,consolidated,declared,-6,11,9989396497000000
20020813000554,00350020,2002,H1,IS,separate,doc_default,-6,11,9505006275000000
20071114000033,00161383,2007,Q3,IS,consolidated,doc_default,-6,11,6778564893000000
20210817001298,01234507,2021,H1,IS,separate,declared,-6,11,7831726023000000
20230512001370,00110884,2023,Q1,IS,consolidated,declared,-6,11,3163838334000000
20230322001304,00336817,2022,FY,CF,separate,declared,-6,11,9744375253000000
20200330002831,00360142,2019,FY,BS,consolidated,declared,-6,11,9541146834000000
20090330000824,00103130,2008,FY,IS,consolidated,doc_default,-6,11,6717384662000000
20210813001338,00163512,2021,H1,BS,consolidated,declared,-6,11,9125294181000000
20180402003540,00103130,2017,FY,BS,separate,declared,-6,11,9776489357000000
20240814004158,00149947,2024,H1,BS,consolidated,declared,-6,11,9756400445000000
20070330001561,00159254,2006,FY,APPR,separate,doc_default,-6,11,6350000000000000
20220321001173,01335930,2021,FY,BS,separate,declared,-6,11,9144916683000000
20030814000462,00130684,2003,H1,BS,separate,doc_default,-6,11,9072646949000000
20230512000842,00327819,2023,Q1,IS,separate,declared,-6,11,6916030658000000
20220321001173,01335930,2021,FY,CF,separate,declared,-6,11,9237354858000000
20160516002934,00101664,2016,Q1,BS,separate,declared,-6,11,9985220210000000
20240814004158,00149947,2024,H1,BS,separate,declared,-6,11,9744843405000000
